,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
0,1034708,43366,0.0,991342.0,1848.4454384999608,4.191134117064912
1,1053330,43826,0.0,1009504.0,1881.7125543971476,4.160709369333447
2,1073300,44304,0.0,1028996.0,1917.3877936016809,4.127830056834063
3,1104143,44773,0.0,1059370.0,1972.4870125694035,4.055000122266772
4,1128683,45053,0.0,1083630.0,2016.326289989496,3.991643357789565
5,1152981,45449,0.0,1107532.0,2059.7332485369043,3.941868946669546
6,1174979,45592,0.0,1129387.0,2099.031391352193,3.880239561728337
7,1194402,45783,0.0,1148619.0,2133.7294469891312,3.833131558721436
8,1211951,46301,0.0,1165650.0,2165.079711025204,3.8203689753133583
9,1229140,46724,0.0,1182416.0,2195.786856077117,3.801357046390159
10,1249431,47140,0.0,1202291.0,2232.0355430425243,3.772917432015053
11,1267276,47576,0.0,1219700.0,2263.914593798904,3.754194035079967
12,1284891,47842,0.0,1237049.0,2295.382762982071,3.723428679942501
13,1301559,48212,0.0,1253347.0,2325.159171948579,3.704173226108075
14,1314888,48406,0.0,1266482.0,2348.970652337023,3.681378185822671
15,1324742,48941,0.0,1275801.0,2366.574248086721,3.6943797358278063
16,1340635,49545,0.0,1291090.0,2394.966164795667,3.695636769142981
17,1355272,49956,0.0,1305316.0,2421.114310826551,3.6860497376172456
18,1367546,50407,0.0,1317139.0,2443.041095303088,3.685945481907007
19,1380869,50804,0.0,1330065.0,2466.841857041796,3.6791324883098975
20,1390923,50998,0.0,1339925.0,2484.802741116026,3.666486210954884
21,1401792,51187,0.0,1350605.0,2504.2195751127247,3.6515403141122222
22,1413410,51718,0.0,1361692.0,2524.974453884796,3.6590939642425058
23,1426733,52273,0.0,1374460.0,2548.775215623504,3.663824976362081
24,1438725,52601,0.0,1386124.0,2570.1982235624505,3.6560843802672505
25,1452137,53025,0.0,1399112.0,2594.157978605575,3.651514974138115
26,1464803,53369,0.0,1411434.0,2616.785048198195,3.643425088561397
27,1479097,53570,0.0,1425527.0,2642.3204447525063,3.621804384702288
28,1490720,53747,0.0,1436973.0,2663.084255732691,3.605438982505098
29,1501179,54285,0.0,1446894.0,2681.768648664099,3.6161577000477614
30,1514139,54736,0.0,1459403.0,2704.920932093781,3.6149917543897887
31,1531761,55155,0.0,1476606.0,2736.401606368307,3.600757559436492
32,1549660,55508,0.0,1494152.0,2768.37712497231,3.581947007730728
33,1567128,55948,0.0,1511180.0,2799.582687236946,3.570097656349705
34,1584292,56086,0.0,1528206.0,2830.245171248294,3.54013022851848
35,1602174,56280,0.0,1545894.0,2862.190320344712,3.512727082077228
36,1618678,56747,0.0,1561931.0,2891.673752885103,3.505762109573368
37,1642110,57284,0.0,1584826.0,2933.5336529872875,3.488438655144905
38,1664511,57722,0.0,1606789.0,2973.551731776509,3.467805259322408
39,1688963,58125,0.0,1630838.0,3017.2338023338075,3.44146082537036
40,1711738,58566,0.0,1653172.0,3057.9200102899035,3.4214348223852014
41,1743893,58807,0.0,1685086.0,3115.363040666557,3.3721679025031928
42,1772635,59005,0.0,1713630.0,3166.70894578507,3.3286604405306224
43,1804923,59613,0.0,1745310.0,3224.3895728975367,3.302800174855105
44,1839170,60238,0.0,1778932.0,3285.5698391487963,3.2752817847181066
45,1874731,60706,0.0,1814025.0,3349.097489692232,3.238117895314048
46,1906291,61276,0.0,1845015.0,3405.4775873034023,3.214409552371595
47,1937598,61451,0.0,1876147.0,3461.4057151840398,3.171504099405553
48,1963217,61697,0.0,1901520.0,3507.1725631149825,3.142648010892326
49,1999728,62019,0.0,1937709.0,3572.397333199945,3.1013717865629724
50,2046892,62379,0.0,1984513.0,3656.653065891113,3.04749835360146
51,2090446,63298,0.0,2027148.0,3734.4597443244743,3.027966280879774
52,2139956,64118,0.0,2075838.0,3822.906469062404,2.996229829024522
53,2190702,64731,0.0,2125971.0,3913.5612356459415,2.9548062675799813
54,2239950,65080,0.0,2174870.0,4001.539912678733,2.905421996026697
55,2286803,65472,0.0,2221331.0,4085.240062025253,2.8630363000223458
56,2339983,65842,0.0,2274141.0,4180.243027518347,2.813781125760315
57,2394923,66626,0.0,2328297.0,4278.390130267323,2.781968355558822
58,2450983,67510,0.0,2383473.0,4378.53804763368,2.754405069313006
59,2497824,68514,0.0,2429310.0,4462.216759680728,2.742947461470464
60,2559581,69670,0.0,2489911.0,4572.542034971381,2.7219298783668107
61,2613838,70541,0.0,2543297.0,4669.46899809208,2.6987517971657
62,2664129,71039,0.0,2593090.0,4759.310933737307,2.66650000807018
63,2705964,71534,0.0,2634430.0,4834.046719021316,2.643568059294211
64,2747085,72685,0.0,2674400.0,4907.506984986745,2.645895558382795
65,2789983,74085,0.0,2715898.0,4984.141757715642,2.655392523897099
66,2834341,75199,0.0,2759142.0,5063.384735213623,2.653138771940285
67,2885082,76338,0.0,2808744.0,5154.030569589047,2.645955990159032
68,2922841,77478,0.0,2845363.0,5221.484818819091,2.650777103509907
69,2958104,78076,0.0,2880028.0,5284.480109758973,2.639393341140136
70,2992238,78636,0.0,2913602.0,5345.458508106872,2.627999510734106
71,3022609,80143,0.0,2942466.0,5399.714526628699,2.6514511139217807
72,3057670,81805,0.0,2975865.0,5462.348956360804,2.6754031664633526
73,3092041,82939,0.0,3009102.0,5523.750741373274,2.6823383001713106
74,3129156,84190,0.0,3044966.0,5590.054522198324,2.690501847782597
75,3159652,85423,0.0,3074229.0,5644.533845922983,2.703557227188311
